date,fini_net,trust_net,dealer_net,futures_fini_long,futures_fini_short,futures_fini_net,pcr_oi,pcr_vol
2021-05-10,-2486919967.0,1668546789.0,-28858218.0,,,,,
2021-05-11,-42417950598.0,1518689796.0,-13792773069.0,,,,,
2021-05-12,-12212097529.0,289943284.0,-6300577047.0,,,,,
2021-05-13,-22695851858.0,866042117.0,-4114100036.0,,,,,
2021-05-14,-13660606015.0,2492694055.0,-3611814695.0,,,,,
2021-05-17,33390867461.0,1031082895.0,-1992720319.0,,,,,
2021-05-18,22140716989.0,1287331670.0,6410833578.0,,,,,
2021-05-19,-29399723958.0,2200732329.0,-599848420.0,,,,,
2021-05-20,-17095523680.0,-1060272738.0,-3745962865.0,,,,,
2021-05-21,17427644348.0,-708158472.0,380537772.0,,,,,
2021-05-24,-118151523.0,1711397844.0,1386619817.0,,,,,
2021-05-25,-1179875685.0,1389845624.0,4494358290.0,,,,,
2021-05-26,1962909803.0,260260184.0,2533245474.0,,,,,
2021-05-27,-12347141535.0,2579819393.0,-977334735.0,,,,,
2021-05-28,18696731543.0,3977028394.0,3458315972.0,,,,,
2021-05-31,13130027778.0,-42111098.0,2892075206.0,,,,,
2021-06-01,2022556472.0,744951234.0,1477758142.0,,,,,
2021-06-02,-9447926553.0,-406619171.0,2304593901.0,,,,,
2021-06-03,8154774716.0,766289683.0,3559682872.0,,,,,
2021-06-04,-16650625656.0,-47528128.0,325503426.0,,,,,
2021-06-07,-7821934980.0,1851078448.0,-1163846333.0,,,,,
2021-06-08,-6169869468.0,1435640170.0,-690318761.0,,,,,
2021-06-09,-14812578517.0,-230307715.0,-1289479341.0,,,,,
2021-06-10,18303601998.0,-1844618426.0,1705170015.0,,,,,
2021-06-11,10665170347.0,-101108925.0,-581766967.0,,,,,
2021-06-14,,,,,,,,
2021-06-15,14284878725.0,-1452510995.0,1720371648.0,,,,,
2021-06-16,-18172260960.0,-1163885615.0,2109354746.0,,,,,
2021-06-17,-6724345868.0,833684740.0,609136362.0,,,,,
2021-06-18,-15803765826.0,-2483794747.0,-1104436032.0,,,,,
2021-06-21,-33282242675.0,-615203590.0,-4836755758.0,,,,,
2021-06-22,-10782293606.0,278446152.0,-1225650901.0,,,,,
2021-06-23,10954115355.0,-1626517922.0,14192734899.0,,,,,
2021-06-24,4003971239.0,-25579039.0,3276003909.0,,,,,
2021-06-25,8794904561.0,966946877.0,3762927904.0,,,,,
2021-06-28,5365916724.0,-1752758533.0,1964662374.0,,,,,
2021-06-29,-14323370996.0,80105703.0,259668460.0,,,,,
